year,month,state,primary.mode,etiology,serotype.or.genotype,etiology.status,setting,illnesses,hospitalizations,deaths,food.vehicle,food.contaminated.ingredient,ifsac.category,water.exposure,water.type,water.status
2001,1,Illinois,Food,NA,NA,NA,Restaurant - other or unknown type,20,0,0,"hard candy, unspecified",NA,Oils-Sugars,NA,NA,NA
2001,1,Illinois,Food,salmonella,Berta,confirmed,Restaurant - other or unknown type,22,0,0,NA,NA,NA,NA,NA,NA
2001,1,Illinois,Food,bacillus,NA,suspected,Restaurant - other or unknown type,2,0,0,NA,NA,NA,NA,NA,NA
2001,1,Illinois,Food,staphylococcus,NA, suspected,Restaurant - other or unknown type,2,0,0,NA,NA,NA,NA,NA,NA
2001,2,Illinois,Food,bacillus,NA,suspected,Restaurant - other or unknown type,3,0,0,NA,NA,NA,NA,NA,NA
2001,2,Illinois,Food,clostridium,NA, suspected,Restaurant - other or unknown type,3,0,0,NA,NA,NA,NA,NA,NA
2001,3,Illinois,Food,staphylococcus,NA,suspected,Restaurant - other or unknown type,10,0,0,NA,NA,NA,NA,NA,NA
2001,3,Illinois,Food,bacillus,NA, suspected,Restaurant - other or unknown type,10,0,0,NA,NA,NA,NA,NA,NA
2001,3,Illinois,Food,salmonella,Enteritidis,confirmed,Private home/residence,4,3,0,"pork, pigs feet",NA,Pork,NA,NA,NA
2001,4,Illinois,Food,clostridium,NA,suspected,Restaurant - other or unknown type,10,0,0,NA,NA,NA,NA,NA,NA
2001,4,Illinois,Food,bacillus,NA, suspected,Restaurant - other or unknown type,10,0,0,NA,NA,NA,NA,NA,NA
2001,4,Illinois,Food,staphylococcus,NA,suspected,Restaurant - other or unknown type,4,0,0,NA,NA,NA,NA,NA,NA
2001,4,Illinois,Food,bacillus,NA, suspected,Restaurant - other or unknown type,4,0,0,NA,NA,NA,NA,NA,NA
2001,4,Illinois,Food,NA,NA,NA,Restaurant - other or unknown type,2,0,0,NA,NA,NA,NA,NA,NA
2001,4,Illinois,Food,salmonella,Enteritidis; Brandenburg,suspected,Restaurant - other or unknown type,4,1,0,NA,NA,NA,NA,NA,NA
2001,4,Illinois,Food,salmonella,Enteritidis; Brandenburg, suspected,Restaurant - other or unknown type,4,1,0,NA,NA,NA,NA,NA,NA
2001,4,Illinois,Food,NA,NA,NA,Long-term care/nursing home/assisted living facility,13,1,0,NA,NA,NA,NA,NA,NA
2001,5,Illinois,Food,clostridium,NA,suspected,Private home/residence,27,0,0,NA,NA,NA,NA,NA,NA
2001,5,Illinois,Food,bacillus,NA, suspected,Private home/residence,27,0,0,NA,NA,NA,NA,NA,NA
2001,5,Illinois,Food,clostridium,NA,confirmed,Restaurant - other or unknown type,20,0,0,"beef, other",NA,Beef,NA,NA,NA
2001,5,Illinois,Food,NA,NA,NA,Private home/residence,3,0,0,NA,NA,NA,NA,NA,NA
2001,5,Illinois,Food,bacillus,NA,suspected,Restaurant - other or unknown type,6,0,0,NA,NA,NA,NA,NA,NA
