"","year","month","state","total.illnesses","avg.meantemp","avg.maxtemp","avg.mintemp","avg.prcp","avg.snow","avg.snowdepth","avg.lagmeantemp","avg.lagmintemp","avg.lagmaxtemp","avg.lagprcp","avg.lagsnow","avg.lagsdepth"
"1",2001,2,"Illinois",3,25.5,32,19,0.045,0,0,28.375,23,33.75,0.045,0,0.5
"2",2001,4,"Illinois",10,52.25,62,42.5,0.15,0,0,48.25,37.5,59,0.15,0,0
"3",2001,5,"Illinois",86,65.9,75.6,56.2,0.05,0,0,66.2,56.4,76,0.05,0,0
"4",2001,6,"Illinois",3,73.375,81.25,65.5,0,0,0,67.25,60.25,74.25,0,0,0
"5",2001,7,"Illinois",6,76.25,83.25,69.25,0.4625,0,0,77.5,69.25,85.75,0.005,0,0
"6",2001,8,"Illinois",44,78.8,87.4,70.2,0.032,0,0,79,71.6,86.4,0.398,0,0
"7",2001,8,"Wisconsin",42,69.8,75.2,64,0.012,0,0,70,64.6,75,0.012,0,0
"8",2001,9,"Illinois",7,66.5,75,58,0.1575,0,0,69.5,60.5,78.5,0.1575,0,0
"9",2001,10,"Illinois",10,57.3,66.4,48.2,0.132,0,0,57.4,48.4,66.4,0.132,0,0
"10",2001,12,"Iowa",22,31,40,22,0.012,0.04,0,36.4,28.4,44.2,0.012,0.04,0
"11",2002,2,"Illinois",5,30.5,38,23,0.05,0,1.25,33.25,26.5,40,0.2175,1.425,2.5
"12",2002,4,"Wisconsin",34,44.75,53.75,35.5,0,0,0,44.75,35.75,53.5,0.0325,0,0
"13",2002,6,"Wisconsin",13,67.25,75.75,58,0.1,0,0,67.5,59.25,75.25,0.1,0,0
"14",2002,8,"Illinois",19,73.625,80.75,66.5,0,0,0,76.5,68,85,0,0,0
"15",2002,9,"Illinois",950,68.75,79.25,58.25,0.065,0,0,71.875,63.5,80.25,0.065,0,0
"16",2002,11,"Illinois",24,39.125,46,32.25,0,0,0.5,44.375,38.5,50.25,0,0,0
"17",2002,12,"Wisconsin",12,30,36.75,22.75,0.0025,0.025,0.5,33.25,27,39,0.0025,0.025,0.5
"18",2003,2,"Illinois",18,21.25,29.5,13,0,0,0,22.25,15,29.5,0,0,0.5
"19",2003,8,"Illinois",17,76.625,85,68.25,0.0125,0,0,75.25,66.5,84,0.0125,0,0
"20",2003,9,"Illinois",16,69.625,79,60.25,0.0275,0,0,73.5,64,83,0,0,0
"21",2003,12,"Iowa",44,35.25,41,28.75,0,0,1.25,37.75,29,45.5,0,0,1.25
