"","year","month","state","total.illnesses","avg.meantemp","avg.maxtemp","avg.mintemp","avg.prcp","avg.snow","avg.snowdepth","avg.lagmeantemp","avg.lagmintemp","avg.lagmaxtemp","avg.lagprcp","avg.lagsnow","avg.lagsdepth"
"1",2001,5,"Illinois",2,65.9,75.6,56.2,0.05,0,0,66.2,56.4,76,0.05,0,0
"2",2001,7,"Illinois",19,76.25,83.25,69.25,0.4625,0,0,77.5,69.25,85.75,0.005,0,0
"3",2001,7,"Wisconsin",21,70.75,78.75,62.25,0.0225,0,0,73.25,63.5,82.5,0.0225,0,0
"4",2001,8,"Illinois",21,78.8,87.4,70.2,0.032,0,0,79,71.6,86.4,0.398,0,0
"5",2001,8,"Wisconsin",55,69.8,75.2,64,0.012,0,0,70,64.6,75,0.012,0,0
"6",2001,9,"Illinois",8,66.5,75,58,0.1575,0,0,69.5,60.5,78.5,0.1575,0,0
"7",2001,10,"Wisconsin",34,47.5,52.75,41.75,0.14,0,0,50.5,44.75,56,0.14,0,0
"8",2002,3,"Illinois",17,40.625,49.25,32,0.005,0,0.5,37.25,30.25,44.25,0.005,0,0.75
"9",2002,6,"Illinois",4,69.625,77.5,61.75,0.065,0,0,68.75,60.75,76.75,0.0025,0,0
"10",2002,6,"Iowa",5,75.4,85.8,64.2,0.08,0,0,71.4,59.4,82.6,0.08,0,0
"11",2002,8,"Wisconsin",19,70.4,77.4,62.8,0,0,0,71.8,64,79,0.24,0,0
"12",2003,7,"Wisconsin",10,71,79.5,61.75,0.0375,0,0,70.25,61,78.75,0.1125,0,0
"13",2003,8,"Illinois",30,76.625,85,68.25,0.0125,0,0,75.25,66.5,84,0.0125,0,0
"14",2003,11,"Illinois",3,45.375,54.5,36.25,0,0,0,46.375,38,54.75,0.0075,0,0
"15",2004,8,"Illinois",6,68,72.5,63.5,0.2125,0,0,68.125,61.75,74.5,0.105,0,0
"16",2004,9,"Illinois",300,68.8,78,59.6,0.168,0,0,71.6,63.4,79.8,0.254,0,0
"17",2005,5,"Illinois",21,58.125,68.75,47.5,0.05,0,0,55.625,45.5,65.75,0.05,0,0
"18",2006,6,"Illinois",2,72.5,81.75,63.25,0.0875,0,0,73.75,65,82.5,0.025,0,0
"19",2006,6,"Wisconsin",3,48.53,74.6,59.2,0,0,0,48.53,57.2,74.2,0,0,0
"20",2007,9,"Illinois",10,68.875,77.5,60.25,0.0525,0,0,72.875,63.75,82,0,0,0
"21",2007,12,"Wisconsin",7,48.53,31.75,24.5,0.1025,1.475,5.5,48.53,22,31.5,0.005,0.1,5.25
"22",2008,6,"Illinois",2,71,79.5,62.5,0.1825,0,0,66,57,75,0.1325,0,0
"23",2008,7,"Illinois",3,77,87,67,0.046,0,0,75.4,66,84.8,0.086,0,0
"24",2008,10,"Illinois",6,51.5,58.8,44.2,0.09,0,0,57.5,50,65,0.09,0,0
"25",2008,10,"Iowa",5,70.75,70.75,51.75,0,0,0,74.75,56.75,74.75,0,0,0
"26",2009,5,"Wisconsin",8,48.53,65.4,49.8,0.094,0,0,48.53,48.4,68.8,0.094,0,0
"27",2009,6,"Wisconsin",7,48.53,77.25,57.25,0.5625,0,0,48.53,54.25,74.5,0.5625,0,0
"28",2009,9,"Illinois",4,65.2,71.6,58.8,0,0,0,67.9,62,73.8,0.144,0,0
"29",2010,7,"Iowa",7,84.5,84.5,69.25,0.57,0,0,84,69.75,84,1.0175,0,0
"30",2010,8,"Wisconsin",7,48.53,85.75,66.25,0.18,0,0,48.53,66.75,84.25,0.18,0,0
"31",2010,12,"Illinois",3,22.4,29.8,15,0.01,0.04,2.4,23.6,16.8,30.4,0.07,0.04,1.6
"32",2011,4,"Wisconsin",13,48.53,47.2,36.6,0.448,0,0,48.53,33,42.6,0.45,0.04,0
"33",2011,7,"Wisconsin",23,48.53,83.8,66.6,0.068,0,0,48.53,63.8,81.2,0.068,0,0
"34",2011,8,"Wisconsin",14,48.53,81.25,62.25,0,0,0,48.53,65.75,81.75,0,0,0
"35",2011,9,"Wisconsin",24,48.53,68.4,53.8,0.004,0,0,48.53,56.4,72.8,0,0,0
"36",2011,10,"Wisconsin",16,48.53,62.25,43.25,0,0,0,48.53,45.5,63.25,0.005,0,0
"37",2011,12,"Wisconsin",2,48.53,34,23.4,0.132,0.04,0,48.53,26.6,36.6,0,0.04,0
"38",2012,7,"Illinois",7,84.5,95.25,73.75,0.535,0,0,82,71.25,92.75,0.535,0,0
"39",2012,7,"Wisconsin",7,48.53,85,69.75,0.27,0,0,48.53,69.75,86.5,0.18,0,0
"40",2012,8,"Iowa",4,80.5,80.5,62.25,0.075,0,0,82.5,62.25,82.5,0.0475,0,0
"41",2012,10,"Wisconsin",2,48.53,50.25,38,0,0,0,48.53,41.25,54,0,0,0
"42",2012,12,"Wisconsin",17,48.53,38.5,27,0.0025,0.125,0.75,48.53,30,41.25,0,0.05,0.5
"43",2013,3,"Wisconsin",3,48.53,36.6,23.4,0.01,0.14,3.8,48.53,22.6,33.2,0.068,1.08,4.6
"44",2013,5,"Illinois",51,69.8,80.8,58.8,0.12,0,0,63.4,53,73.8,0.118,0,0
"45",2013,5,"Wisconsin",3,49.8,55,44.8,0.296,0,0,45.8,39.8,52.6,0.274,0,0
"46",2013,7,"Wisconsin",3,74.75,82,66.25,0.0675,0,0,75.5,66.5,84,0.015,0,0
"47",2013,8,"Wisconsin",2,71,82.2,61.8,0.09,0,0,69.4,60.8,77.6,0.144,0,0
"48",2014,2,"Wisconsin",4,16,25,7.25,0.0225,0.25,9.325,18.75,10.25,23.75,0.02,0.225,9.625
"49",2014,9,"Wisconsin",42,61.5,68.75,52.75,0.04,0,0,64,56,71.75,0.0725,0,0
"50",2015,3,"Illinois",7,37.25,45,29.5,0.04,0,1.75,32.625,24,41.25,0.0375,0.6,3.5
"51",2015,4,"Wisconsin",2,46.75,58.5,35.5,0.08,0,0,43.25,32.5,53.5,0.045,0.075,0
"52",2015,5,"Illinois",30,58.25,65.75,50.75,0.02,0,0,53.875,45.25,62.5,0.005,0,0
"53",2015,7,"Illinois",20,70.6,77.2,64,0.008,0,0,68.7,62.4,75,0.004,0,0
"54",2015,10,"Wisconsin",3,51.6,56.6,44.2,0.062,0,0,55,48.2,59.6,0.06,0,0
"55",2016,6,"Illinois",96,71.1,79.6,62.6,0.352,0,0,73.1,64.2,82,0.498,0,0
"56",2016,6,"Iowa",17,79,90.25,68,0.0575,0,0,76.25,64.75,88.75,0,0,0
"57",2016,6,"Wisconsin",8,68.5,81.5,59.5,0.015,0,0,69.5,60.5,81.5,0.05,0,0
"58",2016,7,"Wisconsin",5,71.8,78,64.6,0,0,0,71.4,63.4,78.6,0,0,0
"59",2016,8,"Wisconsin",7,77,82.75,70,0.105,0,0,76.5,70.5,82.75,0.105,0,0
"60",2017,1,"Wisconsin",13,21.5,26.25,17.75,0.1075,0,0,21.75,18,27.5,0.1075,0,0
"61",2017,5,"Illinois",22,60.1,68.4,51.8,0.4,0,0,61.2,53.4,69,0.454,0,0
"62",2017,6,"Iowa",6,75,86,63.75,0,0,0,75.5,65,87.75,0,0,0
"63",2017,6,"Wisconsin",28,72,81.6,64.2,0.292,0,0,68.6,60.8,77.8,0.31,0,0
"64",2017,7,"Wisconsin",38,73,79,63.75,0.115,0,0,73.5,64,80,0.115,0,0
"65",2017,8,"Wisconsin",13,67,73.75,60.75,0,0,0,69,64,75.5,0,0,0
"66",2017,9,"Iowa",10,73.25,84.5,61.75,0.15,0,0,71.25,60.5,81.5,0.155,0,0
"67",2017,11,"Wisconsin",6,37.25,47.25,30.75,0.07,0.05,0,37.25,31.5,44.75,0.07,0.05,0
"68",2017,12,"Wisconsin",44,27.8,34,21.4,0.01,0.14,0.48,34.6,27,44,0.006,0.08,0.24
"69",2018,3,"Wisconsin",60,33.2,39.8,27,0,0,0,33.6,27,39.8,0.014,0,0
"70",2018,4,"Iowa",8,40.4,49,32.8,0.032,0.5,0.4,36.2,30.4,44,0.032,0.5,0.64
"71",2018,5,"Wisconsin",36,57,66.25,49.5,0.37,0,0,49.75,43,57.25,0.4175,0,0
"72",2018,6,"Iowa",11,76,84.5,67.25,0.175,0,0,79,68.75,88.25,0.125,0,0
"73",2018,7,"Illinois",3,78,86.5,69.5,0.0225,0,0,77,69.75,84.25,0.04,0,0
"74",2018,7,"Iowa",6,75.6,84.8,66.2,0.046,0,0,75.8,66.8,85.6,0.086,0,0
"75",2018,7,"Wisconsin",2,74,79.5,65.75,0.5025,0,0,76.75,67,84,0.5025,0,0
"76",2018,8,"Iowa",10,78.75,88.25,69.25,0.05,0,0,77,67,87.25,0.05,0,0
"77",2018,8,"Wisconsin",5,70.8,76.4,64.4,0.014,0,0,71.2,65.4,76.2,0.014,0,0
"78",2018,11,"Wisconsin",9,36.6,42,29.6,0.062,0.74,0.88,39.6,33.8,44.6,0.062,0.74,0.64
"79",2018,12,"Wisconsin",69,34,39.5,24.75,0.02,0.1,0,31.5,24,35.75,0,0,0.3
"80",2019,3,"Iowa",9,30.2,36.4,22.4,0.026,0,2.2,27.8,18.6,32.8,0.03,0.2,4.02
"81",2019,3,"Wisconsin",5,33.8,38.6,27.2,0.012,0,1.56,30.6,23.4,36.4,0,0,2.74
"82",2019,4,"Wisconsin",9,46,51.75,38.75,0.005,0,0,42.75,37.75,47.75,0.02,0,0
"83",2019,5,"Illinois",9,61.7,74,49.4,0.39,0,0,60.1,48,72.2,0.37,0,0
"84",2019,7,"Illinois",6,77.5,85.8,69.2,0.14,0,0,79.6,70.6,88.6,0.18,0,0
"85",2019,7,"Iowa",6,77,85.5,69.75,0.28,0,0,79,71.5,86.75,0,0,0
"86",2019,7,"Wisconsin",6,77,88.75,67.5,0.01,0,0,76.25,67.5,88,0.1,0,0
"87",2019,8,"Illinois",2,73.875,83,64.75,0,0,0,74.25,65.5,83,0,0,0
"88",2019,8,"Iowa",9,74,81.5,66,0.5325,0,0,76.75,68,86,0.8125,0,0
"89",2019,8,"Wisconsin",2,69.6,77.8,60.8,0,0,0,70.6,62.8,79.8,0,0,0
"90",2019,11,"Illinois",2,38.625,48,29.25,0.03,0,0.5,36.625,29,44.25,0.2675,0.35,0.75
"91",2019,11,"Iowa",23,40.5,48.75,32.25,0.02,0.025,0,41,33.25,46.75,0.02,0.025,0
"92",2020,5,"Wisconsin",14,55,63.4,44.6,0.052,0,0,50.2,40.4,58.4,0.044,0,0
"93",2020,6,"Iowa",9,76,86.75,66,0.0525,0,0,73,63.25,83.75,0.0375,0,0
"94",2020,10,"Illinois",2,55.375,65.75,45,0.1625,0,0,59.875,49.75,70,0.1625,0,0
"95",2020,10,"Wisconsin",20,47.2,56,37.6,0.128,0,0,53.8,44.4,63.4,0.128,0,0
"96",2020,11,"Illinois",4,47.75,54.75,40.75,0.0925,0,0,46.75,37.75,55.75,0,0,0
"97",2021,5,"Iowa",2,61.2,71.2,52.2,0.108,0,0,59.4,50.2,71,0.108,0,0
"98",2021,6,"Illinois",3,73,81,65,0.016,0,0,71.8,62.6,81,0.11,0,0
"99",2021,6,"Iowa",40,75.5,87,63,0.295,0,0,72.25,59.25,83,0.295,0,0
"100",2021,7,"Illinois",11,77.75,85.5,70,0.0625,0,0,76.375,69.25,83.5,0.02,0,0
"101",2021,7,"Iowa",24,75.75,85.75,65.75,0,0,0,73.25,64.5,83.75,0,0,0
"102",2021,7,"Wisconsin",4,69.4,76.2,61.2,0,0,0,69.8,61.8,77.8,0,0,0
"103",2021,8,"Iowa",10,73.6,83,63,0.008,0,0,74.2,63,84.2,0.008,0,0
"104",2021,9,"Illinois",7,68.4,76.6,60.2,0.066,0,0,70.9,62.6,79.2,0.356,0,0
"105",2021,9,"Wisconsin",22,69,81,58.75,0.0325,0,0,71.75,63.5,82.25,0.0025,0,0
