Date,TAVG (Degrees Fahrenheit),TMAX (Degrees Fahrenheit),TMIN (Degrees Fahrenheit),PRCP (Inches),SNOW (Inches),SNWD (Inches)
2001-01-03,17.5,28.0,7.0,0.0,0.0,15.0
2001-01-10,27.5,35.0,20.0,0.0,0.0,11.0
2001-01-17,24.0,28.0,20.0,0.0,0.0,4.0
2001-01-24,24.0,29.0,19.0,0.0,0.0,3.0
2001-01-31,32.5,36.0,29.0,0.0,0.0,2.0
2001-02-07,29.0,37.0,21.0,0.0,0.0,0.0
2001-02-14,34.5,38.0,31.0,0.18,0.0,0.0
2001-02-21,17.5,24.0,11.0,0.0,0.0,0.0
2001-02-28,21.0,29.0,13.0,0.0,0.0,0.0
2001-03-07,34.5,46.0,23.0,0.0,0.0,0.0
2001-03-14,41.0,51.0,31.0,0.07,0.0,0.0
2001-03-21,42.5,54.0,31.0,0.0,0.0,0.0
2001-03-28,39.0,50.0,28.0,0.0,0.0,0.0
2001-04-04,45.5,53.0,38.0,0.0,0.0,0.0
2001-04-11,65.0,77.0,53.0,0.6,0.0,0.0
2001-04-18,43.5,56.0,31.0,0.0,0.0,0.0
2001-04-25,55.0,62.0,48.0,0.0,0.0,0.0
2001-05-02,73.5,83.0,64.0,0.0,0.0,0.0
2001-05-09,69.5,82.0,57.0,0.0,0.0,0.0
2001-05-16,78.5,91.0,66.0,0.12,0.0,0.0
2001-05-23,54.5,62.0,47.0,0.13,0.0,0.0
2001-05-30,53.5,60.0,47.0,0.0,0.0,0.0
2001-06-06,60.5,67.0,54.0,0.0,0.0,0.0
2001-06-13,83.5,93.0,74.0,0.0,0.0,0.0
2001-06-20,71.5,77.0,66.0,0.0,0.0,0.0
2001-06-27,78.0,88.0,68.0,0.0,0.0,0.0
2001-07-04,79.5,89.0,70.0,0.0,0.0,0.0
2001-07-11,72.0,78.0,66.0,0.0,0.0,0.0
2001-07-18,80.5,88.0,73.0,0.02,0.0,0.0
2001-07-25,73.0,78.0,68.0,1.83,0.0,0.0
2001-08-01,86.0,94.0,78.0,0.0,0.0,0.0
2001-08-08,86.0,94.0,78.0,0.0,0.0,0.0
2001-08-15,70.5,78.0,63.0,0.13,0.0,0.0
2001-08-22,79.5,88.0,71.0,0.03,0.0,0.0
2001-08-29,72.0,83.0,61.0,0.0,0.0,0.0
2001-09-05,69.5,78.0,61.0,0.0,0.0,0.0
2001-09-12,72.5,84.0,61.0,0.0,0.0,0.0
2001-09-19,64.0,69.0,59.0,0.63,0.0,0.0
2001-09-26,60.0,69.0,51.0,0.0,0.0,0.0
2001-10-03,68.5,80.0,57.0,0.0,0.0,0.0
2001-10-10,61.5,66.0,57.0,0.16,0.0,0.0
2001-10-17,43.5,52.0,35.0,0.0,0.0,0.0
2001-10-24,53.5,65.0,42.0,0.5,0.0,0.0
2001-10-31,59.5,69.0,50.0,0.0,0.0,0.0
2001-11-07,59.5,72.0,47.0,0.0,0.0,0.0
2001-11-14,57.0,63.0,51.0,0.14,0.0,0.0
2001-11-21,45.5,55.0,36.0,0.0,0.0,0.0
2001-11-28,40.0,44.0,36.0,0.14,0.0,0.0
2001-12-05,57.5,68.0,47.0,0.07,0.0,0.0
2001-12-12,45.0,48.0,42.0,0.2,0.0,0.0
2001-12-19,36.5,41.0,32.0,0.11,0.2,0.0
2001-12-26,15.0,19.0,11.0,0.01,0.3,1.0
2002-01-02,23.5,32.0,15.0,0.0,0.0,0.0
2002-01-09,47.0,56.0,38.0,0.0,0.0,0.0
2002-01-16,30.5,35.0,26.0,0.26,3.3,3.0
2002-01-23,44.0,50.0,38.0,0.0,0.0,0.0
2002-01-30,32.5,34.0,31.0,0.67,5.7,6.0
2002-02-06,29.0,37.0,21.0,0.0,0.0,4.0
2002-02-13,26.5,34.0,19.0,0.0,0.0,0.0
2002-02-20,45.0,55.0,35.0,0.2,0.0,0.0
2002-02-27,21.5,26.0,17.0,0.0,0.0,1.0
2002-03-06,39.5,46.0,33.0,0.0,0.0,2.0
2002-03-13,47.5,59.0,36.0,0.0,0.0,0.0
2002-03-20,40.5,46.0,35.0,0.02,0.0,0.0
2002-03-27,35.0,46.0,24.0,0.0,0.0,0.0
2002-04-03,36.0,42.0,30.0,0.0,0.0,0.0
2002-04-10,51.0,65.0,37.0,0.0,0.0,0.0
2002-04-17,75.5,85.0,66.0,0.17,0.0,0.0
2002-04-24,59.0,74.0,44.0,0.48,0.0,0.0
2002-05-01,53.5,62.0,45.0,0.13,0.0,0.0
2002-05-08,56.0,66.0,46.0,0.65,0.0,0.0
2002-05-15,60.5,76.0,45.0,0.0,0.0,0.0
2002-05-22,56.5,68.0,45.0,0.0,0.0,0.0
2002-05-29,75.0,84.0,66.0,0.0,0.0,0.0
2002-06-05,58.0,66.0,50.0,0.01,0.0,0.0
2002-06-12,65.0,71.0,59.0,0.0,0.0,0.0
2002-06-19,77.0,86.0,68.0,0.0,0.0,0.0
2002-06-26,78.5,87.0,70.0,0.25,0.0,0.0
2002-07-03,86.0,96.0,76.0,0.0,0.0,0.0
2002-07-10,74.5,79.0,70.0,0.0,0.0,0.0
2002-07-17,81.0,90.0,72.0,0.0,0.0,0.0
2002-07-24,73.0,78.0,68.0,0.0,0.0,0.0
2002-07-31,85.5,96.0,75.0,0.0,0.0,0.0
2002-08-07,70.0,76.0,64.0,0.0,0.0,0.0
2002-08-14,73.0,79.0,67.0,0.0,0.0,0.0
2002-08-21,77.5,89.0,66.0,0.0,0.0,0.0
2002-08-28,74.0,79.0,69.0,0.0,0.0,0.0
2002-09-04,73.5,85.0,62.0,0.0,0.0,0.0
2002-09-11,67.0,75.0,59.0,0.0,0.0,0.0
2002-09-18,73.0,82.0,64.0,0.26,0.0,0.0
2002-09-25,61.5,75.0,48.0,0.0,0.0,0.0
2002-10-02,68.5,74.0,63.0,0.15,0.0,0.0
2002-10-09,59.0,68.0,50.0,0.0,0.0,0.0
2002-10-16,44.0,50.0,38.0,0.01,0.0,0.0
2002-10-23,44.0,47.0,41.0,0.04,0.0,0.0
2002-10-30,44.5,48.0,41.0,0.0,0.0,0.0
2002-11-06,39.0,42.0,36.0,0.0,0.0,0.0
2002-11-13,45.5,56.0,35.0,0.0,0.0,0.0
2002-11-20,48.5,55.0,42.0,0.0,0.0,0.0
2002-11-27,23.5,31.0,16.0,0.0,0.0,2.0
2002-12-04,23.0,28.0,18.0,0.0,0.0,2.0
2002-12-11,34.5,44.0,25.0,0.0,0.0,0.0
2002-12-18,46.0,55.0,37.0,1.06,0.0,0.0
2002-12-25,27.0,30.0,24.0,0.12,2.0,4.0
2003-01-01,32.0,34.0,30.0,0.0,0.0,0.0
2003-01-08,45.5,54.0,37.0,0.0,0.0,0.0
2003-01-15,13.5,22.0,5.0,0.0,0.0,1.0
2003-01-22,9.5,15.0,4.0,0.0,0.0,0.0
2003-01-29,25.0,29.0,21.0,0.0,0.0,2.0
2003-02-05,17.5,27.0,8.0,0.0,0.0,0.0
2003-02-12,13.5,22.0,5.0,0.0,0.0,0.0
2003-02-19,33.0,40.0,26.0,0.0,0.0,0.0
2003-02-26,21.0,29.0,13.0,0.0,0.0,0.0
2003-03-05,24.0,26.0,22.0,0.22,2.6,6.0
2003-03-12,39.5,45.0,34.0,0.0,0.0,0.0
2003-03-19,44.0,49.0,39.0,0.13,0.0,0.0
2003-03-26,49.0,62.0,36.0,0.0,0.0,0.0
2003-04-02,57.5,73.0,42.0,0.0,0.0,0.0
2003-04-09,37.5,44.0,31.0,0.0,0.0,0.0
2003-04-16,56.5,68.0,45.0,0.0,0.0,0.0
2003-04-23,45.0,54.0,36.0,0.0,0.0,0.0
2003-04-30,58.0,69.0,47.0,1.19,0.0,0.0
2003-05-07,57.0,65.0,49.0,0.01,0.0,0.0
2003-05-14,54.0,59.0,49.0,0.26,0.0,0.0
2003-05-21,51.5,57.0,46.0,0.0,0.0,0.0
2003-05-28,64.0,71.0,57.0,0.15,0.0,0.0
2003-06-04,61.0,68.0,54.0,0.0,0.0,0.0
2003-06-11,61.5,69.0,54.0,0.0,0.0,0.0
2003-06-18,75.5,90.0,61.0,0.35,0.0,0.0
2003-06-25,83.0,93.0,73.0,0.0,0.0,0.0
2003-07-02,76.0,87.0,65.0,0.0,0.0,0.0
2003-07-09,69.5,74.0,65.0,0.12,0.0,0.0
