Date,TAVG (Degrees Fahrenheit),TMAX (Degrees Fahrenheit),TMIN (Degrees Fahrenheit),PRCP (Inches),SNOW (Inches),SNWD (Inches)
2001-01-07,26.0,34.0,17.0,0.0,0.0,7.0
2001-01-14,34.0,35.0,32.0,0.05,0.3,4.0
2001-01-21,17.0,22.0,11.0,0.0,0.0,3.0
2001-01-28,25.0,30.0,19.0,0.18,3.0,3.0
2001-02-04,28.0,34.0,22.0,0.01,0.0,3.0
2001-02-11,15.0,25.0,5.0,0.0,0.0,7.0
2001-02-18,21.0,33.0,8.0,0.0,0.0,6.0
2001-02-25,30.0,36.0,23.0,0.0,0.0,2.0
2001-03-04,26.0,32.0,20.0,0.0,0.0,2.0
2001-03-11,28.0,35.0,21.0,0.14,0.0,1.0
2001-03-18,29.0,38.0,19.0,0.0,0.0,4.0
2001-03-25,22.0,26.0,18.0,0.0,0.0,0.0
2001-04-01,41.0,53.0,28.0,0.03,0.0,0.0
2001-04-08,60.0,82.0,37.0,0.51,0.0,0.0
2001-04-15,50.0,62.0,37.0,0.02,0.0,0.0
2001-04-22,65.0,80.0,49.0,0.07,0.0,0.0
2001-04-29,71.0,84.0,58.0,0.0,0.0,0.0
2001-05-06,64.0,72.0,55.0,0.18,0.0,0.0
2001-05-13,56.0,62.0,50.0,1.91,0.0,0.0
2001-05-20,65.0,73.0,57.0,0.1,0.0,0.0
2001-05-27,58.0,69.0,47.0,0.0,0.0,0.0
2001-06-03,55.0,62.0,48.0,0.0,0.0,0.0
2001-06-10,76.0,88.0,64.0,0.05,0.0,0.0
2001-06-17,74.0,84.0,63.0,0.03,0.0,0.0
2001-06-24,76.0,88.0,63.0,0.0,0.0,0.0
2001-07-01,69.0,75.0,62.0,0.0,0.0,0.0
2001-07-08,80.0,85.0,74.0,0.0,0.0,0.0
2001-07-15,74.0,84.0,64.0,0.0,0.0,0.0
2001-07-22,88.0,99.0,76.0,0.15,0.0,0.0
2001-07-29,77.0,89.0,65.0,0.0,0.0,0.0
2001-08-05,83.0,92.0,73.0,0.0,0.0,0.0
2001-08-12,76.0,90.0,61.0,0.0,0.0,0.0
2001-08-19,68.0,79.0,56.0,0.0,0.0,0.0
2001-08-26,75.0,87.0,62.0,0.0,0.0,0.0
2001-09-02,75.0,88.0,62.0,0.0,0.0,0.0
2001-09-09,61.0,68.0,54.0,0.19,0.0,0.0
2001-09-16,62.0,69.0,55.0,0.74,0.0,0.0
2001-09-23,58.0,65.0,50.0,0.03,0.0,0.0
2001-09-30,58.0,73.0,43.0,0.0,0.0,0.0
2001-10-07,53.0,68.0,38.0,0.0,0.0,0.0
2001-10-14,50.0,58.0,41.0,0.0,0.0,0.0
2001-10-21,56.0,66.0,45.0,0.0,0.0,0.0
2001-10-28,53.0,69.0,37.0,0.0,0.0,0.0
2001-11-04,56.0,70.0,41.0,0.0,0.0,0.0
2001-11-11,47.0,58.0,36.0,0.0,0.0,0.0
2001-11-18,52.0,63.0,40.0,0.04,0.0,0.0
2001-11-25,41.0,43.0,38.0,0.0,0.0,0.0
2001-12-02,43.0,56.0,30.0,0.0,0.0,0.0
2001-12-09,36.0,49.0,23.0,0.0,0.0,0.0
2001-12-16,41.0,48.0,34.0,0.06,0.0,0.0
2001-12-23,21.0,25.0,17.0,0.0,0.2,0.0
2001-12-30,14.0,22.0,6.0,0.0,0.0,0.0
2002-01-06,22.0,32.0,11.0,0.0,0.0,0.0
2002-01-13,40.0,50.0,30.0,0.0,0.0,0.0
2002-01-20,32.0,44.0,20.0,0.0,0.0,0.0
2002-01-27,45.0,63.0,27.0,0.0,0.0,0.0
2002-02-03,22.0,33.0,11.0,0.0,0.0,5.0
2002-02-10,28.0,36.0,20.0,0.04,0.0,1.0
2002-02-17,38.0,52.0,24.0,0.0,0.0,0.0
2002-02-24,47.0,65.0,29.0,0.0,0.0,0.0
2002-03-03,0.0,9.0,-3.0,0.0,0.0,5.0
2002-03-10,22.0,33.0,10.0,0.0,0.0,0.0
2002-03-17,36.0,42.0,30.0,0.0,0.0,0.0
2002-03-24,33.0,37.0,29.0,0.01,0.1,0.0
2002-03-31,42.0,51.0,32.0,0.09,0.0,0.0
2002-04-07,49.0,52.0,46.0,0.12,0.0,0.0
2002-04-14,65.0,82.0,47.0,0.0,0.0,0.0
2002-04-21,41.0,45.0,36.0,0.2,0.0,0.0
2002-04-28,43.0,47.0,38.0,0.0,0.0,0.0
2002-05-05,65.0,81.0,48.0,0.0,0.0,0.0
2002-05-12,49.0,51.0,46.0,0.07,0.0,0.0
2002-05-19,51.0,64.0,37.0,0.0,0.0,0.0
2002-05-26,64.0,76.0,51.0,0.0,0.0,0.0
2002-06-02,72.0,82.0,62.0,0.4,0.0,0.0
2002-06-09,78.0,88.0,67.0,0.0,0.0,0.0
2002-06-16,65.0,78.0,51.0,0.0,0.0,0.0
2002-06-23,78.0,89.0,66.0,0.0,0.0,0.0
2002-06-30,84.0,92.0,75.0,0.0,0.0,0.0
2002-07-07,79.0,87.0,70.0,0.0,0.0,0.0
2002-07-14,71.0,81.0,61.0,0.0,0.0,0.0
2002-07-21,87.0,96.0,77.0,0.01,0.0,0.0
2002-07-28,83.0,92.0,73.0,0.0,0.0,0.0
2002-08-04,80.0,86.0,73.0,0.0,0.0,0.0
2002-08-11,81.0,93.0,68.0,0.0,0.0,0.0
2002-08-18,61.0,70.0,52.0,0.03,0.0,0.0
2002-08-25,74.0,83.0,64.0,0.0,0.0,0.0
2002-09-01,76.0,87.0,65.0,0.0,0.0,0.0
2002-09-08,79.0,91.0,67.0,0.0,0.0,0.0
2002-09-15,63.0,74.0,51.0,0.0,0.0,0.0
2002-09-22,55.0,65.0,45.0,0.0,0.0,0.0
2002-09-29,75.0,90.0,59.0,0.01,0.0,0.0
2002-10-06,53.0,62.0,43.0,0.0,0.0,0.0
2002-10-13,45.0,57.0,32.0,0.0,0.0,0.0
2002-10-20,41.0,55.0,26.0,0.0,0.0,0.0
2002-10-27,36.0,39.0,33.0,0.17,0.0,0.0
2002-11-03,38.0,44.0,32.0,0.0,0.0,0.0
2002-11-10,41.0,50.0,32.0,0.0,0.0,0.0
2002-11-17,32.0,43.0,20.0,0.0,0.0,0.0
2002-11-24,30.0,37.0,22.0,0.0,0.0,0.0
2002-12-01,33.0,52.0,13.0,0.0,0.0,0.0
2002-12-08,24.0,32.0,16.0,0.0,0.0,0.0
2002-12-15,43.0,59.0,26.0,0.0,0.0,0.0
2002-12-22,28.0,34.0,22.0,0.0,0.0,0.0
2002-12-29,42.0,53.0,30.0,0.0,0.0,0.0
2003-01-05,32.0,36.0,28.0,0.0,0.0,0.0
2003-01-12,24.0,43.0,5.0,0.0,0.0,0.0
2003-01-19,22.0,38.0,5.0,0.0,0.0,2.0
2003-01-26,0.0,8.0,-3.0,0.01,0.2,1.0
2003-02-02,36.0,40.0,31.0,0.0,0.0,0.0
2003-02-09,15.0,25.0,5.0,0.0,0.0,1.0
2003-02-16,13.0,20.0,5.0,0.0,0.0,13.0
2003-02-23,16.0,22.0,10.0,0.06,0.8,2.0
2003-03-02,17.0,28.0,5.0,0.0,0.0,1.0
2003-03-09,10.0,17.0,2.0,0.0,0.0,3.0
2003-03-16,62.0,76.0,48.0,0.0,0.0,0.0
2003-03-23,54.0,73.0,34.0,0.0,0.0,0.0
2003-03-30,36.0,49.0,23.0,0.0,0.0,0.0
2003-04-06,34.0,39.0,29.0,0.38,2.6,0.0
2003-04-13,62.0,79.0,45.0,0.0,0.0,0.0
2003-04-20,49.0,52.0,46.0,0.09,0.0,0.0
2003-04-27,64.0,77.0,50.0,0.0,0.0,0.0
2003-05-04,55.0,59.0,51.0,2.5,0.0,0.0
2003-05-11,52.0,57.0,47.0,0.0,0.0,0.0
2003-05-18,67.0,76.0,57.0,0.0,0.0,0.0
2003-05-25,63.0,76.0,50.0,0.0,0.0,0.0
2003-06-01,67.0,74.0,59.0,0.0,0.0,0.0
2003-06-08,64.0,72.0,55.0,0.11,0.0,0.0
2003-06-15,77.0,85.0,68.0,0.0,0.0,0.0
2003-06-22,76.0,88.0,64.0,0.0,0.0,0.0
2003-06-29,73.0,81.0,65.0,0.0,0.0,0.0
2003-07-06,80.0,91.0,68.0,0.54,0.0,0.0
2003-07-13,74.0,84.0,63.0,0.0,0.0,0.0
2003-07-20,78.0,87.0,69.0,0.0,0.0,0.0
2003-07-27,77.0,84.0,69.0,0.24,0.0,0.0
2003-08-03,75.0,86.0,64.0,0.0,0.0,0.0
2003-08-10,75.0,84.0,65.0,0.16,0.0,0.0
2003-08-17,86.0,97.0,74.0,0.0,0.0,0.0
2003-08-24,84.0,100.0,67.0,0.0,0.0,0.0
2003-08-31,63.0,68.0,58.0,0.21,0.0,0.0
2003-09-07,74.0,89.0,58.0,0.0,0.0,0.0
