"","year","month","state","total.illnesses","avg.meantemp","avg.maxtemp","avg.mintemp","avg.prcp","avg.snow","avg.snowdepth","avg.lagmeantemp","avg.lagmintemp","avg.lagmaxtemp","avg.lagprcp","avg.lagsnow","avg.lagsdepth"
"1",2001,1,"Illinois",22,25.1,31.2,19,0,0,7,18.6,13.2,24,0,0,6.6
"2",2001,3,"Illinois",4,39.25,50.25,28.25,0.0175,0,0,34.75,24.5,45,0.0175,0,0
"3",2001,4,"Illinois",8,52.25,62,42.5,0.15,0,0,48.25,37.5,59,0.15,0,0
"4",2001,5,"Illinois",14,65.9,75.6,56.2,0.05,0,0,66.2,56.4,76,0.05,0,0
"5",2001,5,"Iowa",21,60.75,69,52.25,0.5475,0,0,64,55,72.75,0.5475,0,0
"6",2001,6,"Illinois",6,73.375,81.25,65.5,0,0,0,67.25,60.25,74.25,0,0,0
"7",2001,6,"Wisconsin",21,64.6,71.6,57.2,0.188,0,0,59.2,52.2,66,0.188,0,0
"8",2001,7,"Illinois",51,76.25,83.25,69.25,0.4625,0,0,77.5,69.25,85.75,0.005,0,0
"9",2001,7,"Wisconsin",168,70.75,78.75,62.25,0.0225,0,0,73.25,63.5,82.5,0.0225,0,0
"10",2001,8,"Illinois",22,78.8,87.4,70.2,0.032,0,0,79,71.6,86.4,0.398,0,0
"11",2001,8,"Wisconsin",4,69.8,75.2,64,0.012,0,0,70,64.6,75,0.012,0,0
"12",2001,9,"Iowa",27,62.8,72.6,52.8,0.192,0,0,66.2,56.6,75.4,0.192,0,0
"13",2001,10,"Wisconsin",80,47.5,52.75,41.75,0.14,0,0,50.5,44.75,56,0.14,0,0
"14",2002,1,"Illinois",135,35.5,41.4,29.6,0.186,1.8,1.8,32,25.6,38.4,0.054,0.72,0.8
"15",2002,3,"Illinois",22,40.625,49.25,32,0.005,0,0.5,37.25,30.25,44.25,0.005,0,0.75
"16",2002,4,"Wisconsin",87,44.75,53.75,35.5,0,0,0,44.75,35.75,53.5,0.0325,0,0
"17",2002,5,"Illinois",8,60.3,71.2,49.4,0.156,0,0,57.1,45,69.2,0.252,0,0
"18",2002,6,"Illinois",45,69.625,77.5,61.75,0.065,0,0,68.75,60.75,76.75,0.0025,0,0
"19",2002,7,"Wisconsin",28,69.75,77,61.75,0.3,0,0,69.5,61,77.25,0,0,0
"20",2002,8,"Iowa",47,74,83,64.25,0.0075,0,0,76.25,66.5,85.25,0.0075,0,0
"21",2002,9,"Wisconsin",28,65,72,57,0.015,0,0,68,59.5,75.5,0.015,0,0
"22",2002,10,"Wisconsin",4,51.75,60.25,43,0.245,0,0,54.75,44.75,64.25,0.1375,0,0
"23",2003,4,"Wisconsin",47,40.75,46.25,35,0.1625,0.075,0,40.75,34,47.25,0.2425,0.075,0
"24",2003,5,"Wisconsin",3,54.4,63,45.2,0.222,0,0,50.8,42.8,58.4,0.126,0,0
"25",2003,6,"Illinois",227,70.25,80,60.5,0.0875,0,0,65.5,56.5,74.5,0.125,0,0
"26",2003,7,"Wisconsin",64,71,79.5,61.75,0.0375,0,0,70.25,61,78.75,0.1125,0,0
"27",2003,8,"Illinois",4,76.625,85,68.25,0.0125,0,0,75.25,66.5,84,0.0125,0,0
"28",2003,8,"Wisconsin",9,74.4,81.8,66.4,0.016,0,0,74,65.2,82.2,0.012,0,0
"29",2003,9,"Wisconsin",29,62,70,53.75,0.1475,0,0,66.25,57.75,74.5,0.0925,0,0
"30",2003,10,"Illinois",84,51.6,60.2,43,0.006,0,0,55.1,45.8,64.4,0.022,0,0
"31",2003,10,"Wisconsin",14,51.8,61.2,42,0.146,0,0,52.2,42.6,61.2,0.194,0,0
"32",2003,11,"Wisconsin",4,37,44.5,29,0.0025,0.05,0,43.5,34,52.5,0,0,0
"33",2004,1,"Wisconsin",66,19.2,26.2,12,0.098,1.68,3.6,25.8,17.4,33.8,0.098,1.68,1.8
"34",2004,2,"Wisconsin",7,29.25,34.5,23.5,0.1,0.825,6,20.5,14.5,26.5,0.1,0.825,8.25
"35",2004,3,"Wisconsin",11,39.75,50.5,28.5,0.28,0,0,34.75,25,44,0.155,0,0
"36",2004,4,"Illinois",2,56.125,69,43.25,0.005,0,0,50.75,40.25,61.25,0.005,0,0
"37",2004,4,"Iowa",20,52.75,62,42.5,0.005,0,0,51.5,41.75,60.5,0.0075,0,0
"38",2004,5,"Illinois",38,62.625,72,53.25,0.14,0,0,63.875,52.5,75.25,0.14,0,0
"39",2004,5,"Wisconsin",6,50,55.75,43.75,0.6775,0,0,48,42.5,53,0.7025,0,0
"40",2004,6,"Illinois",80,70.8,80,61.6,0.036,0,0,68,59.4,76.6,0.036,0,0
"41",2004,6,"Wisconsin",19,59.5,68,50.5,0.0775,0,0,57.25,50.25,64,0.0775,0,0
"42",2004,7,"Wisconsin",13,67,73.2,60.4,0.048,0,0,64,56,71.4,0.048,0,0
"43",2004,9,"Illinois",4,68.8,78,59.6,0.168,0,0,71.6,63.4,79.8,0.254,0,0
"44",2004,11,"Illinois",5,50,55.75,44.25,0.2675,0.475,0.5,55.375,50,60.75,0.08,0,0
"45",2004,12,"Wisconsin",21,27.2,34.6,19.6,0.066,0,0,26.6,20.2,32.8,0.078,0,0
"46",2005,4,"Illinois",14,54.5,65,44,0.0125,0,0,58.75,47.25,70.25,0.19,0,0
