Date,TAVG (Degrees Fahrenheit),TMAX (Degrees Fahrenheit),TMIN (Degrees Fahrenheit),PRCP (Inches),SNOW (Inches),SNWD (Inches)
2001-01-05,30.0,37.0,23.0,0.0,0.0,16.0
2001-01-12,31.0,39.0,23.0,0.0,0.0,10.0
2001-01-19,20.0,27.0,13.0,0.0,0.0,5.0
2001-01-26,23.0,29.0,17.0,0.03,0.6,4.0
2001-02-02,0.0,17.0,1.0,0.0,0.0,3.0
2001-02-09,32.0,46.0,18.0,1.09,0.4,1.0
2001-02-16,19.0,28.0,10.0,0.0,0.0,2.0
2001-02-23,23.0,28.0,17.0,0.0,0.1,1.0
2001-03-02,35.0,40.0,30.0,0.0,0.0,0.0
2001-03-09,32.0,38.0,25.0,0.0,0.0,0.0
2001-03-16,32.0,34.0,30.0,0.0,0.0,0.0
2001-03-23,37.0,44.0,30.0,0.0,0.0,0.0
2001-03-30,39.0,44.0,33.0,0.0,0.0,0.0
2001-04-06,48.0,56.0,39.0,0.0,0.0,0.0
2001-04-13,45.0,52.0,38.0,0.0,0.0,0.0
2001-04-20,57.0,67.0,46.0,0.54,0.0,0.0
2001-04-27,49.0,53.0,45.0,0.0,0.0,0.0
2001-05-04,50.0,54.0,45.0,0.01,0.0,0.0
2001-05-11,49.0,56.0,42.0,0.07,0.0,0.0
2001-05-18,60.0,66.0,53.0,0.0,0.0,0.0
2001-05-25,50.0,58.0,42.0,0.0,0.0,0.0
2001-06-01,56.0,63.0,48.0,0.69,0.0,0.0
2001-06-08,62.0,71.0,53.0,0.0,0.0,0.0
2001-06-15,69.0,75.0,63.0,0.25,0.0,0.0
2001-06-22,59.0,63.0,55.0,0.0,0.0,0.0
2001-06-29,77.0,86.0,67.0,0.0,0.0,0.0
2001-07-06,66.0,77.0,55.0,0.0,0.0,0.0
2001-07-13,71.0,80.0,61.0,0.0,0.0,0.0
2001-07-20,79.0,87.0,71.0,0.09,0.0,0.0
2001-07-27,67.0,71.0,62.0,0.0,0.0,0.0
2001-08-03,73.0,78.0,68.0,0.0,0.0,0.0
2001-08-10,69.0,74.0,64.0,0.0,0.0,0.0
2001-08-17,70.0,79.0,61.0,0.0,0.0,0.0
2001-08-24,71.0,73.0,68.0,0.06,0.0,0.0
2001-08-31,66.0,72.0,59.0,0.0,0.0,0.0
2001-09-07,76.0,86.0,66.0,0.82,0.0,0.0
2001-09-14,57.0,61.0,53.0,0.0,0.0,0.0
